Name, Net ID, Homework ID, Score, Percent, Attempt,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Prompt, ***, ***, , , ,What is your favorite color?,Hey dad. You wanna have a catch?,Aren't you a little short for a stormtrooper?,Shall we play a game?,Do I feel lucky?,You want the truth?,Who you gonna call?,Who's on first?,"What would you say if man walked in here with no shirt, and I hired him? What would you say?","Do you ever have déjà vu, Mrs. Lancaster?","multiple answers"
Key, ***, ***, , , ,A,B,C,D,E,A,B,C,D,E,"A,B"
Type, ***, ***, , , ,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice,Multiple Choice
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Student A,aaa,aaa,6,60,1,A,C,C,D,E,C,E,C,A,E,"A,B"
Student B,bbb,bbb,5,50,1,A,C,C,E,E,C,E,C,B,E,"A,B"
Student C,ccc,ccc,5,50,1,A,C,C,D,D,A,E,A,C,E,"A,B"
Student D,ddd,ddd,4,40,1,A,C,C,A,D,A,E,D,D,B,"A,B"
Student E,eee,eee,3,30,1,A,C,D,B,D,A,E,E,E,E,"A,B"
Student F,fff,fff,6,60,1,A,C,D,D,E,A,E,C,A,E,"A,B"
Student G,ggg,ggg,3,30,1,A,C,D,E,E,C,E,C,B,B,"A,B"
Student H,hhh,hhh,3,30,1,A,C,D,E,E,C,E,C,C,B,"A,B"
Student I,iii,iii,4,40,1,A,C,E,A,E,C,B,D,D,D,"A,B"
Student J,jjj,jjj,3,30,1,A,C,E,D,E,C,E,B,E,C,"A,B"
Student K,kkk,kkk,3,30,1,A,C,E,D,D,E,E,C,A,A,"A,B"
Student L,lll,lll,3,30,1,A,C,A,D,A,E,E,C,B,A,"A,B"
Student M,mmm,mmm,1,10,1,A,C,A,E,B,E,E,B,C,B,"A,B"
Student N,nnn,nnn,1,10,1,A,C,A,B,D,E,E,B,D,C,"A,B"
Student O,ooo,ooo,9,90,1,A,C,C,D,E,A,B,C,D,E,"A,B"
Student P,ppp,ppp,2,20,1,A,C,A,C,C,B,E,C,A,C,"A,B"
Student Q,qqq,qqq,2,20,1,A,C,A,E,E,B,E,A,B,C,"A,B"
Student R,rrr,rrr,3,30,1,A,C,B,D,E,B,E,A,C,B,"A,B"
Student S,sss,sss,5,50,1,A,C,B,D,E,C,E,C,D,B,"A,B"
Student T,ttt,ttt,5,50,1,A,C,B,D,E,C,E,C,E,E,"A,B"
